"","CNV_group","PRS_quantile","estimate","se","ci_lower","ci_upper","z","p"
"1","negative","1","-0.184651462539855","0.0552056784804938","-0.292854592361623","-0.0764483327180873","-3.34479110885485","0.000840955729424769"
"2","positive","1","0.274525055912294","0.0938874997583066","0.0905055563860132","0.458544555438575","2.923978768409","0.00350059696580207"
"3","negative","2","-0.338802136881502","0.053408135443071","-0.443482082349921","-0.234122191413082","-6.34364285648277","2.84853365436627e-10"
"4","positive","2","0.226201992748214","0.10343947728851","0.0234606172627349","0.428943368233693","2.18680525731292","0.0288884403108766"
"5","negative","3","-0.426199938430196","0.0593287124525705","-0.542484214837234","-0.309915662023158","-7.18370449672096","1.02465656817822e-12"
"6","positive","3","0.390816313316869","0.101378014440907","0.19211540501269","0.589517221621047","3.85504012356321","0.000120169377132323"
"7","negative","4","-0.38463368455594","0.0562868068280721","-0.494955825938961","-0.274311543172918","-6.83346073851378","1.14803096408733e-11"
"8","positive","4","0.310529554907133","0.095254368904957","0.123830991853417","0.497228117960848","3.26000327834803","0.00113595238726028"
