"","PRS_quantile","estimate","se","ci_lower","ci_upper","z","p"
"1",1,0.27457874410436,0.014690840196803,0.245784697318626,0.303372790890094,18.6904724594386,9.54714185635349e-78
"2",2,0.304797546279418,0.0147616135343075,0.275864783752175,0.333730308806661,20.6479830657426,2.07294723454901e-94
"3",3,0.304860481431733,0.0145059174125929,0.276428883303051,0.333292079560415,21.0162840970731,9.98322655166448e-98
"4",4,0.349368243966207,0.0147787044592497,0.320401983226078,0.378334504706337,23.639977707758,5.06689838178284e-123
