"","quantile","estimate","se","ci_lower","ci_upper","z","p"
"1",1,0.187614810063051,0.00377455270131515,0.180216686768474,0.195012933357629,49.7051769863172,0
"2",2,0.200940104742374,0.00377608493549715,0.1935389782688,0.208341231215949,53.2138731450221,0
"3",3,0.206763254650497,0.00382386899848897,0.199268471413459,0.214258037887536,54.0717411428585,0
"4",4,0.205094056883604,0.00384989442065535,0.19754826381912,0.212639849948089,53.2726445128571,0
