"","quantile","estimate","se","ci_lower","ci_upper","z","p"
"1",1,0.181348093674578,0.0037648959765018,0.173968897560634,0.188727289788521,48.1681551911242,0
"2",2,0.191852335766394,0.00376365497373732,0.184475572017869,0.199229099514919,50.9750062386522,0
"3",3,0.196528248313217,0.0038139148466596,0.189052975213764,0.204003521412669,51.5292701108273,0
"4",4,0.194750155004046,0.00389082747579767,0.187124133151483,0.20237617685661,50.0536598488268,0
