"","group","CNV_groupxSex_estimate","CNV_groupxSex_se","CNV_groupxSex_ci_lower","CNV_groupxSex_ci_upper","CNV_groupxSex_z","CNV_groupxSex_p"
"1","negative","0.0306268638373321","0.0628138470600592","-0.0924882764003839","0.153742004075048","0.487581405546588","0.625861870966467"
"2","positive","-0.0178875714571898","0.110182765558976","-0.233845791952783","0.198070649038403","-0.16234454968019","0.871039291580897"
