"","CNV_group","estimate","se","ci_lower","ci_upper","z","p"
"1","No CNV","0.316340755902958","0.00775186135152454","0.30114710765397","0.331534404151946","40.8083609287908","0"
"2","Negative","0.181277271189945","0.10250715136344","-0.0196367454823968","0.382191287862287","1.76843536064353","0.0772662817726401"
"3","No effect","0.37743320725965","0.0586113920584505","0.262554878825087","0.492311535694213","6.43958783444783","1.32235129976032e-10"
"4","Positive","0.469226366985458","0.0592562965849622","0.353084025678932","0.585368708291984","7.91859083384796","3.10721551802457e-15"
