"","CNV_group","PRS_quantile","estimate","se","ci_lower","ci_upper","z","p"
"1","negative","1","-0.111875897402589","0.0636013964837285","-0.236534634510697","0.0127828397055186","-1.75901636737192","0.0787029458936439"
"2","positive","1","0.117555552735482","0.0418917285741369","0.0354477647301741","0.199663340740791","2.80617574725858","0.00505402969697491"
"3","negative","2","-0.164878930298184","0.0675755980976571","-0.297327102569591","-0.0324307580267757","-2.43991817963503","0.0147665377979057"
"4","positive","2","0.0850935674751123","0.0444796673787174","-0.00208658058717379","0.172273715537398","1.91308911441698","0.0558621638208014"
"5","negative","3","-0.113022085091548","0.0682682005395939","-0.246827758149153","0.0207835879660557","-1.65555975107324","0.09794071672148"
"6","positive","3","0.111070193620962","0.0431244726399947","0.0265462272465727","0.195594159995352","2.57557221738529","0.0100663086099363"
"7","negative","4","-0.168468036175912","0.0665949810445058","-0.298994199023144","-0.0379418733286808","-2.52974073321417","0.0114773214854803"
"8","positive","4","0.141561402100258","0.0436699581190256","0.0559682841869682","0.227154520013548","3.24161982739765","0.00120457217952828"
