"","group","CNV_groupxSex_estimate","CNV_groupxSex_se","CNV_groupxSex_ci_lower","CNV_groupxSex_ci_upper","CNV_groupxSex_z","CNV_groupxSex_p"
"1","negative","-0.0476327135556051","0.0689929153159136","-0.182858827574796","0.0875934004635856","-0.690400069883963","0.489959405663608"
"2","positive","0.0793933766050885","0.0448926889206979","-0.00859629367947942","0.167383046889656","1.76851461816723","0.0770068181659394"
