"","CNV_group","estimate","se","ci_lower","ci_upper","z","p"
"1",NA,"0.766525353156065","0.00291578540546466","0.760810413761354","0.772240292550776","262.888123289001","0"
"2","negative","0.754221162506299","0.0431314296217007","0.669683560447765","0.838758764564832","17.4865792560427","7.08792108475015e-62"
"3","no effect","0.80412559818898","0.0218446017369414","0.761310178784575","0.846941017593385","36.8111814475941","2.44983368410128e-258"
"4","positive","0.803684636313284","0.0731047576203741","0.660399311377351","0.946969961249217","10.9936023656181","2.24410373520129e-24"
