"","quantile","estimate","se","ci_lower","ci_upper","z","p"
"1",1,0.236960018057462,0.00325720105031536,0.230575903998844,0.24334413211608,72.749582969255,0
"2",2,0.330933828922732,0.00357023256444987,0.323936173096411,0.337931484749054,92.6925131482927,0
"3",3,0.351756145457335,0.00361316224221911,0.344674347462586,0.358837943452085,97.354096460749,0
"4",4,0.362452095511366,0.00370205296797902,0.355196071694128,0.369708119328605,97.9057022269543,0
