"","quantile","estimate","se","ci_lower","ci_upper","z","p"
"1",1,0.256317569245239,0.00328426173847219,0.249880416237834,0.262754722252645,78.0441967345989,0
"2",2,0.352719336555126,0.00354468718737872,0.345771749667864,0.359666923442388,99.5064776973904,0
"3",3,0.364352460096001,0.0035933171870698,0.357309558409344,0.371395361782658,101.397244141733,0
"4",4,0.372683885000054,0.0036788032152215,0.36547343069822,0.379894339301888,101.305740806692,0
