"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-0.0358595152908022,0.0261731368714093,-1.37008855556684,0.170664074687897
"PRS_HEIGHT_zscore",0.880207874161913,0.00791314973648234,111.233567349781,0
"CNV_effect_continuous",0.914015504210375,0.194944630157802,4.68859031136434,2.75660740829133e-06
"age",-0.00272113451391978,0.000434777395447548,-6.25868442658736,3.90694288928122e-10
"sex2",-0.0399403695963303,0.00695955799683228,-5.73892330727175,9.5709891323903e-09
"PC1",0.119293921576135,0.114719051419973,1.03987890502523,0.298400099723001
"PC2",0.0574579324290511,0.114121519496135,0.503480261065021,0.614628390788616
"PC3",0.216134497291597,0.202400845702074,1.06785372631169,0.285590533709313
"PC4",0.354797302846541,0.328808015033717,1.07904091939535,0.280573560639837
"PC5",-0.472384909159736,0.326282875220372,-1.44777720510366,0.147684277106686
"PC6",1.07132234622049,0.897546764198248,1.19361173027845,0.232634315668184
"PC7",-0.733454134925688,0.6341522139255,-1.15659004071829,0.247444218048963
"PC8",0.224479067005282,0.667349742236221,0.336373947269501,0.736589997934993
"PC9",0.15013827691065,0.406849603949493,0.369026479203082,0.712109210996759
"PC10",-0.804657585469898,1.08096554719108,-0.744387818428464,0.456644624508712
"PRS_HEIGHT_zscore:CNV_effect_continuous",0.186489473684068,0.220354283445831,0.846316535207777,0.397379356022437
