"","CNV_group","estimate","se","ci_lower","ci_upper","z","p"
"1",NA,"0.298590754685018","0.00208358291768281","0.294506932166359","0.302674577203676","143.306394072901","0"
"2","negative","0.265723937240453","0.0306263134548897","0.205696362868869","0.325751511612036","8.67632787837309","1.45454261889473e-17"
"3","no effect","0.310827195191408","0.0154825694915288","0.280481358988011","0.341173031394804","20.0759438129101","5.90799486326617e-86"
"4","positive","0.317359911904015","0.0172135758228707","0.283621303291189","0.351098520516842","18.4366058028662","7.66838785497613e-73"
